movie_id,movie_name,release_year
tt0111161,The Shawshank Redemption,1994
tt0068646,The Godfather,1972
tt0468569,The Dark Knight,2008
tt0071562,The Godfather Part II,1974
tt0050083,12 Angry Men,1957
tt0108052,Schindler's List,1993
tt0167260,The Lord of the Rings: The Return of the King,2003
tt0110912,Pulp Fiction,1994
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
tt0060196,"Il buono, il brutto, il cattivo",1966
tt0109830,Forrest Gump,1994
tt0137523,Fight Club,1999
tt0167261,The Lord of the Rings: The Two Towers,2002
tt1375666,Inception,2010
tt0080684,The Empire Strikes Back,1980
tt0133093,The Matrix,1999
tt0099685,GoodFellas,1990
tt0073486,One Flew Over the Cuckoo's Nest,1975
tt0114369,Se7en,1995
tt0047478,Shichinin no samurai,1954
tt0038650,It's a Wonderful Life,1946
tt0102926,The Silence of the Lambs,1991
tt0317248,Cidade de Deus,2002
tt0120815,Saving Private Ryan,1998
tt0118799,La vita è bella,1997
tt0816692,Interstellar,2014
tt0120689,The Green Mile,1999
tt0076759,Star Wars,1977
tt0103064,Terminator 2: Judgment Day,1991
tt0088763,Back to the Future,1985
tt0245429,Sen to Chihiro no kamikakushi,2001
tt0253474,The Pianist,2002
tt0054215,Psycho,1960
tt6751668,Gisaengchung,2019
tt0110413,Léon,1994
tt0110357,The Lion King,1994
tt0172495,Gladiator,2000
tt0120586,American History X,1998
tt0407887,The Departed,2006
tt0114814,The Usual Suspects,1995
tt0482571,The Prestige,2006
tt2582802,Whiplash,2014
tt0034583,Casablanca,1942
tt0056058,Seppuku,1962
tt0095327,Hotaru no haka,1988
tt1675434,The Intouchables,2011
tt0027977,Modern Times,1936
tt0064116,Once Upon a Time in the West,1968
tt0047396,Rear Window,1954
tt0095765,Nuovo Cinema Paradiso,1988
tt0078748,Alien,1979
tt0021749,City Lights,1931
tt0078788,Apocalypse Now,1979
tt0209144,Memento,2000
tt1853728,Django Unchained,2012
tt0082971,Raiders of the Lost Ark,1981
tt0910970,WALL·E,2008
tt0405094,The Lives of Others,2006
tt0043014,Sunset Blvd.,1950
tt0050825,Paths of Glory,1957
tt0081505,The Shining,1980
tt0032553,The Great Dictator,1940
tt4154756,Avengers: Infinity War,2018
tt0051201,Witness for the Prosecution,1957
tt0090605,Aliens,1986
tt4633694,Spider-Man: Into the Spider-Verse,2018
tt0169547,American Beauty,1999
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
tt1345836,The Dark Knight Rises,2012
tt0364569,Oldeuboi,2003
tt0361748,Inglourious Basterds,2009
tt0086879,Amadeus,1984
tt2380307,Coco,2017
tt7286456,Joker,2019
tt0114709,Toy Story,1995
tt0112573,Braveheart,1995
tt0082096,Das Boot,1981
tt4154796,Avengers: Endgame,2019
tt0119698,Mononoke-hime,1997
tt0087843,Once Upon a Time in America,1984
tt0119217,Good Will Hunting,1997
tt5311514,Kimi no Na wa.,2016
tt0180093,Requiem for a Dream,2000
tt1187043,3 Idiots,2009
tt0045152,Singin' in the Rain,1952
tt0435761,Toy Story 3,2010
tt0057565,Tengoku to jigoku,1963
tt8267604,Capharnaüm,2018
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983
tt0338013,Eternal Sunshine of the Spotless Mind,2004
tt0062622,2001: A Space Odyssey,1968
tt0105236,Reservoir Dogs,1992
tt2106476,Jagten,2012
tt0091251,Idi i smotri,1985
tt1745960,Top Gun: Maverick,2022
tt0033467,Citizen Kane,1941
tt0056172,Lawrence of Arabia,1962
tt0022100,M - Eine Stadt sucht einen Mörder,1931
tt0053125,North by Northwest,1959
tt0052357,Vertigo,1958
tt0211915,Le fabuleux destin d'Amélie Poulain,2001
tt0053604,The Apartment,1960
tt0044741,Ikiru,1952
tt0066921,A Clockwork Orange,1971
tt0036775,Double Indemnity,1944
tt0093058,Full Metal Jacket,1987
tt8503618,Hamilton,2020
tt0086250,Scarface,1983
tt0056592,To Kill a Mockingbird,1962
tt1255953,Incendies,2010
tt0070735,The Sting,1973
tt0113277,Heat,1995
tt1049413,Up,2009
tt1832382,Jodaeiye Nader az Simin,2011
tt0075314,Taxi Driver,1976
tt0017136,Metropolis,1927
tt0119488,L.A. Confidential,1997
tt0095016,Die Hard,1988
tt0208092,Snatch,2000
tt0097576,Indiana Jones and the Last Crusade,1989
tt0040522,Ladri di biciclette,1948
tt0986264,Taare Zameen Par,2007
tt8579674,1917,2019
tt0363163,Der Untergang,2004
tt0059578,Per qualche dollaro in più,1965
tt5074352,Dangal,2016
tt0372784,Batman Begins,2005
tt0012349,The Kid,1921
tt0053291,Some Like It Hot,1959
tt10272386,The Father,2020
tt0042192,All About Eve,1950
tt6966692,Green Book,2018
tt0993846,The Wolf of Wall Street,2013
tt0055031,Judgment at Nuremberg,1961
tt0112641,Casino,1995
tt0089881,Ran,1985
tt0457430,Pan's Labyrinth,2006
tt0105695,Unforgiven,1992
tt0120382,The Truman Show,1998
tt0469494,There Will Be Blood,2007
tt0167404,The Sixth Sense,1999
tt0268978,A Beautiful Mind,2001
tt1130884,Shutter Island,2010
tt0055630,Yôjinbô,1961
tt0040897,The Treasure of the Sierra Madre,1948
tt0107290,Jurassic Park,1993
tt0071853,Monty Python and the Holy Grail,1975
tt10872600,Spider-Man: No Way Home,2021
tt0057115,The Great Escape,1963
tt0042876,Rashômon,1950
tt0477348,No Country for Old Men,2007
tt0266697,Kill Bill: Vol. 1,2003
tt0084787,The Thing,1982
tt0266543,Finding Nemo,2003
tt0080678,The Elephant Man,1980
tt0071315,Chinatown,1974
tt0081398,Raging Bull,1980
tt0434409,V for Vendetta,2005
tt0031381,Gone with the Wind,1939
tt0120735,"Lock, Stock and Two Smoking Barrels",1998
tt2096673,Inside Out,2015
tt0046912,Dial M for Murder,1954
tt1305806,El secreto de sus ojos,2009
tt0347149,Hauru no ugoku shiro,2004
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017
tt0050212,The Bridge on the River Kwai,1957
tt0117951,Trainspotting,1996
tt1392214,Prisoners,2013
tt1291584,Warrior,2011
tt0116282,Fargo,1996
tt1205489,Gran Torino,2008
tt0096283,Tonari no Totoro,1988
tt0264464,Catch Me If You Can,2002
tt0405159,Million Dollar Baby,2004
tt0118849,Bacheha-Ye aseman,1997
tt0083658,Blade Runner,1982
tt0015864,The Gold Rush,1925
tt0112471,Before Sunrise,1995
tt0047296,On the Waterfront,1954
tt2024544,12 Years a Slave,2013
tt1201607,Harry Potter and the Deathly Hallows - Part 2,2011
tt4729430,Klaus,2019
tt0052618,Ben-Hur,1959
tt2267998,Gone Girl,2014
tt0050986,Smultronstället,1957
tt2278388,The Grand Budapest Hotel,2014
tt0017925,The General,1926
tt0041959,The Third Man,1949
tt0107207,In the Name of the Father,1993
tt0077416,The Deer Hunter,1978
tt0072684,Barry Lyndon,1975
tt0046268,Le salaire de la peur,1953
tt2119532,Hacksaw Ridge,2016
tt0031679,Mr. Smith Goes to Washington,1939
tt0353969,Salinui chueok,2003
tt0015324,Sherlock Jr.,1924
tt3011894,Relatos salvajes,2014
tt1392190,Mad Max: Fury Road,2015
tt0050976,Det sjunde inseglet,1957
tt0978762,Mary and Max.,2009
tt3170832,Room,2015
tt0892769,How to Train Your Dragon,2010
tt0198781,"Monsters, Inc.",2001
tt0073195,Jaws,1975
tt0118715,The Big Lebowski,1998
tt0097165,Dead Poets Society,1989
tt0046438,Tôkyô monogatari,1953
tt0019254,La passion de Jeanne d'Arc,1928
tt0395169,Hotel Rwanda,2004
tt1950186,Ford v Ferrari,2019
tt0075148,Rocky,1976
tt0091763,Platoon,1986
tt1895587,Spotlight,2015
tt0088247,The Terminator,1984
tt0382932,Ratatouille,2007
tt0092005,Stand by Me,1986
tt3315342,Logan,2017
tt1979320,Rush,2013
tt0074958,Network,1976
tt0048473,Pather Panchali,1955
tt0758758,Into the Wild,2007
tt0381681,Before Sunset,2004
tt0032138,The Wizard of Oz,1939
tt0107048,Groundhog Day,1993
tt0036868,The Best Years of Our Lives,1946
tt0070047,The Exorcist,1973
tt0035446,To Be or Not to Be,1942
tt0317705,The Incredibles,2004
tt0058946,La battaglia di Algeri,1966
tt0113247,La haine,1995
tt1028532,Hachi: A Dog's Tale,2009
tt0476735,Babam ve Oglum,2005
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003
tt15097216,Jai Bhim,2021
tt0032551,The Grapes of Wrath,1940
tt0245712,Amores perros,2000
tt0032976,Rebecca,1940
tt0061512,Cool Hand Luke,1967
tt4016934,Ah-ga-ssi,2016
tt0053198,Les quatre cents coups,1959
tt0059742,The Sound of Music,1965
tt0025316,It Happened One Night,1934
tt0060827,Persona,1966
tt0079470,Life of Brian,1979
tt0129167,The Iron Giant,1999
tt0071411,Dersu Uzala,1975
tt1454029,The Help,2011
tt0103639,Aladdin,1992
tt0083987,Gandhi,1982
tt0099348,Dances with Wolves,1990
